Highest Charting Position,Number of Times Charted,Song Name,Streams,Artist,Artist Followers,Genre
136,15,Stereo Hearts (feat. Adam Levine),"4,992,345",Gym Class Heroes,1275345,"['dance pop', 'pop rap']"
32,36,Reloj,"4,980,155","Rauw Alejandro, Anuel AA",6080597,"['puerto rican pop', 'trap latino']"
81,8,malibu,"4,973,063",sangiovanni,384097,[]
101,4,"Eladio Carrion: Bzrp Music Sessions, Vol. 40","4,965,913","Bizarrap, Eladio Carrion",3126961,"['argentine hip hop', 'pop venezolano', 'trap argentino', 'trap latino']"
117,27,Do I Wanna Know?,"4,938,586",Arctic Monkeys,12369079,"['garage rock', 'permanent wave', 'rock', 'sheffield indie']"
43,2,LUMBERJACK,"11,756,283","Tyler, The Creator",6777818,"['hip hop', 'rap']"
47,1,LEMONHEAD (feat. 42 Dugg),"11,380,679","Tyler, The Creator",6777818,"['hip hop', 'rap']"
59,1,HOT WIND BLOWS (feat. Lil Wayne),"9,889,197","Tyler, The Creator",6777818,"['hip hop', 'rap']"
63,1,CORSO,"9,503,981","Tyler, The Creator",6777818,"['hip hop', 'rap']"
69,1,SWEET / I THOUGHT YOU WANTED TO DANCE (feat. Brent Faiyaz & Fana Hues),"9,142,721","Tyler, The Creator",6777818,"['hip hop', 'rap']"
73,1,SIR BAUDELAIRE (feat. DJ Drama),"8,884,283","Tyler, The Creator",6777818,"['hip hop', 'rap']"
82,1,MASSA,"8,218,423","Tyler, The Creator",6777818,"['hip hop', 'rap']"
85,1,RUNITUP (feat. Teezo Touchdown),"7,917,707","Tyler, The Creator",6777818,"['hip hop', 'rap']"
108,1,MANIFESTO (feat. Domo Genesis),"6,988,886","Tyler, The Creator",6777818,"['hip hop', 'rap']"
121,1,Get Into It (Yuh),"6,503,281",Doja Cat,8640063,"['dance pop', 'pop']"
132,1,WILSHIRE,"6,268,542","Tyler, The Creator",6777818,"['hip hop', 'rap']"
141,1,RISE! (feat. DAISY WORLD),"6,034,281","Tyler, The Creator",6777818,"['hip hop', 'rap']"
165,1,Naked,"5,527,865",Doja Cat,8640063,"['dance pop', 'pop']"
50,3,Having Our Way (feat. Drake),"5,424,579",Migos,11690201,"['atl hip hop', 'pop rap', 'rap', 'trap']"
176,1,Payday (feat. Young Thug),"5,393,789",Doja Cat,8640063,"['dance pop', 'pop']"
179,1,Been Like This,"5,362,817",Doja Cat,8640063,"['dance pop', 'pop']"
138,3,MILLE (feat. Orietta Berti),"5,341,887","Fedez, Achille Lauro",1650683,"['italian adult pop', 'italian pop']"
10,49,UN DIA (ONE DAY) (Feat. Tainy),"5,203,364","J Balvin, Dua Lipa, Bad Bunny",29051363,"['latin', 'reggaeton', 'reggaeton colombiano']"
1,55,Savage Love (Laxed - Siren Beat),"5,108,950","Jawsh 685, Jason Derulo",100604,['nz pop']
59,6,Poblado,"6,893,939","Crissin, Totoy El Frio, Natan & Shander",29051363,"['latin', 'reggaeton', 'reggaeton colombiano']"
17,30,Hecha Pa' Mi,"6,308,369",Boza,278679,['reggaeton']
146,1,working,"5,666,770","Tate McRae, Khalid",1647262,"['alt z', 'dance pop', 'pop', 'post-teen pop']"
112,3,Petrouchka (feat. PLK),"5,511,544",Soso Maness,289437,"['francoton', 'french hip hop', 'pop urbaine', 'rap francais', 'rap marseille']"
11,6,p r i d e . i s . t h e . d e v i l (with Lil Baby),"5,430,260",J. Cole,14097410,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']"
6,6,m y . l i f e (with 21 Savage & Morray),"5,246,577",J. Cole,14097410,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']"
96,77,Jocelyn Flores,"5,220,422",XXXTENTACION,29539807,"['emo rap', 'miami hip hop']"
66,2,No Return (with The Kid LAROI & Lil Durk),"5,189,427",Polo G,4840346,['chicago rap']
1,78,The Box,"5,145,099",Roddy Ricch,6603627,"['melodic rap', 'rap', 'trap']"
31,19,Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,"5,124,606",Nathan Evans,140812,[]
170,13,Can't Hold Us - feat. Ray Dalton,"5,085,147",Macklemore & Ryan Lewis,2562082,"['modern rock', 'pop rap', 'seattle hip hop']"
6,26,Anyone,"5,079,587",Justin Bieber,1250353,[]
39,45,my ex's best friend (with blackbear),"5,048,079",Machine Gun Kelly,3864419,"['ohio hip hop', 'pop rap']"
133,20,Just the Way You Are,"5,043,647",Bruno Mars,32574754,"['dance pop', 'pop', 'post-teen pop']"
17,78,HIGHEST IN THE ROOM,"4,975,720",Travis Scott,17719446,"['rap', 'slap house']"
7,65,Break My Heart,"4,971,176",Dua Lipa,27142474,"['dance pop', 'pop', 'uk pop']"
2,44,Laugh Now Cry Later (feat. Lil Durk),"4,916,860",Drake,56308172,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']"
175,2,We Are The People (feat. Bono & The Edge) - Official UEFA EURO 2020 Song,"4,912,036",Martin Garrix,14917926,"['dance pop', 'dutch edm', 'edm', 'pop', 'pop dance', 'progressive house', 'tropical house']"
23,19,Ella No Es Tuya - Remix,"4,911,162","Rochy RD, Myke Towers, Nicki Nicole",319192,"['dembow', 'dominican pop', 'rap dominicano', 'trap latino']"
176,6,In the End,"4,910,070",Linkin Park,19584111,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal']"
119,6,No Role Modelz,"4,904,401",J. Cole,14097410,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']"
7,74,SICKO MODE,"4,898,977",Travis Scott,17719446,"['rap', 'slap house']"
161,41,Something Just Like This,"4,862,683","The Chainsmokers, Coldplay",18191658,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'tropical house']"
84,9,You,"4,846,549","Regard, Troye Sivan, Tate McRae",152226,"['dance pop', 'edm', 'pop dance', 'pop edm', 'slap house', 'tropical house']"
84,3,Straightenin,"7,615,531",Migos,11690201,"['atl hip hop', 'pop rap', 'rap', 'trap']"
71,4,GANG GANG (with Lil Wayne),"7,506,580",Polo G,4840346,['chicago rap']
106,1,Black Hearted,"6,989,528",Polo G,4840346,['chicago rap']
124,1,Lost,"6,410,263",Maroon 5,32262679,"['pop', 'pop rock']"
128,1,Avalanche,"6,323,268",Migos,11690201,"['atl hip hop', 'pop rap', 'rap', 'trap']"
59,18,My Head & My Heart,"5,470,147",Ava Max,3911473,"['dance pop', 'pop']"
166,1,Malibu (feat. Polo G),"5,456,648",Migos,11690201,"['atl hip hop', 'pop rap', 'rap', 'trap']"
36,26,GIRL LIKE ME,"5,395,181","Black Eyed Peas, Shakira",5963840,"['dance pop', 'pop', 'pop rap']"
179,1,Clueless (with Pop Smoke & Fivio Foreign),"5,335,308",Polo G,4840346,['chicago rap']
181,1,Modern Day,"5,322,745",Migos,11690201,"['atl hip hop', 'pop rap', 'rap', 'trap']"
2,31,Therefore I Am,"5,265,630",Billie Eilish,1250353,[]
12,29,TE MUDASTE,"5,242,347",Bad Bunny,36142273,"['latin', 'reggaeton', 'trap latino']"
108,6,Tipo Gin - Ao Vivo,"5,155,238",MC Kevin o Chris,2753929,"['funk 150 bpm', 'funk carioca']"
39,6,Higher Power,"5,142,982",Coldplay,1250353,[]
54,4,SUN GOES DOWN,"5,125,477",Lil Nas X,5473565,"['lgbtq+ hip hop', 'pop rap']"
195,1,Painting Pictures,"5,119,845",Polo G,4840346,['chicago rap']
1,55,Rain On Me (with Ariana Grande),"5,041,656",Lady Gaga,18572085,"['dance pop', 'pop', 'post-teen pop']"
97,1,Hats Off (feat. Travis Scott),"7,324,233","Lil Baby, Lil Durk",7805880,"['atl hip hop', 'atl trap', 'rap', 'trap']"
117,1,Last Train Home,"6,439,718",John Mayer,5178156,"['neo mellow', 'pop rock', 'singer-songwriter']"
126,1,Voice of the Heroes,"6,249,801","Lil Baby, Lil Durk",7805880,"['atl hip hop', 'atl trap', 'rap', 'trap']"
134,1,0X1=LOVESONG (I Know I Love you),"6,040,553","TOMORROW X TOGETHER, Seori",4136553,"['k-pop', 'k-pop boy group']"
10,4,a m a r i,"5,645,966",J. Cole,14097410,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']"
72,5,NEVER LEFT,"5,552,212",Lil Tecca,4016497,"['melodic rap', 'rap', 'trap']"
27,8,Solid (feat. Drake),"5,347,781","Young Stoner Life, Young Thug, Gunna",61930,"['rap', 'trap']"
21,35,La Nota,"5,300,884","Manuel Turizo, Rauw Alejandro, Myke Towers",7904381,"['colombian pop', 'latin', 'reggaeton', 'reggaeton colombiano', 'trap latino']"
47,32,Golden,"5,298,893",Harry Styles,16112621,"['pop', 'post-teen pop']"
127,2,CORALINE,"5,241,813",Måneskin,3377762,"['indie rock italiano', 'italian pop']"
3,33,BICHOTA,"5,201,714",KAROL G,1250353,[]
96,10,Slumber Party (feat. Princess Nokia),"5,113,574",Ashnikko,1246335,"['electropop', 'escape room', 'pop']"
170,1,Killer (feat. Jack Harlow & Cordae) - Remix,"5,404,939",Eminem,46785561,"['detroit hip hop', 'hip hop', 'rap']"
105,7,Liberdade (Quando o Grave Bate Forte),"5,378,350","Alok, Mc Don Juan, Dj GBR",10334543,"['electro house', 'pop nacional', 'slap house']"
108,51,All Girls Are The Same,"5,372,180",Juice WRLD,19085118,"['chicago rap', 'melodic rap']"
175,1,734,"5,368,759",Juice WRLD,19085118,"['chicago rap', 'melodic rap']"
85,16,Boy With Luv (feat. Halsey),"5,266,625",BTS,37106176,"['k-pop', 'k-pop boy group']"
82,10,Disco Arranhado - Funk Remix,"5,207,186","Malu, DJ Lucas Beat",74814,[]
4,70,Godzilla (feat. Juice WRLD),"5,143,522",Eminem,46785561,"['detroit hip hop', 'hip hop', 'rap']"
8,68,Blueberry Faygo,"5,085,511",Lil Mosey,3816446,"['melodic rap', 'rap', 'rap conscient', 'trap', 'vapor trap']"
129,14,Somebody That I Used To Know,"5,068,972","Gotye, Kimbra",2263960,['australian pop']
4,37,Holy (feat. Chance The Rapper),"5,063,015",Justin Bieber,48504126,"['canadian pop', 'pop', 'post-teen pop']"
200,1,Vida Louca,"5,051,514","Mc Poze do Rodo, Neo Beats, Mainstreet",448447,"['funk carioca', 'funk ostentacao']"
15,3,i n t e r l u d e,"7,880,155",J. Cole,14097410,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']"
95,1,Butter (Instrumental),"7,450,126",BTS,37106176,"['k-pop', 'k-pop boy group']"
25,5,Film out,"7,198,095",BTS,37106176,"['k-pop', 'k-pop boy group']"
106,1,Voilà,"6,935,400",Barbara Pravi,75496,"['eurovision', 'nouvelle chanson francaise']"
53,5,Shy Away,"6,634,722",Twenty One Pilots,20823062,"['modern rock', 'rock']"
118,1,Saturday,"6,628,638",Twenty One Pilots,20823062,"['modern rock', 'rock']"
18,2,9 5 . s o u t h,"6,333,126",J. Cole,14097410,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']"
67,2,Seeing Green (with Drake & Lil Wayne),"6,299,936",Nicki Minaj,22161310,"['dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'queens hip hop']"
134,1,Dark Side,"6,277,641",Blind Channel,121225,"['eurovision', 'oulu metal', 'trancecore']"
137,1,SHUM,"6,237,019",Go_A,107553,['eurovision']
69,4,In the morning,"5,738,325",ITZY,2379448,['k-pop girl group']
27,2,l e t . g o . m y . h a n d (with Bas & 6LACK),"5,393,643",J. Cole,14097410,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']"
2,12,What’s Next,"5,335,112",Drake,56308172,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']"
154,4,Ramen & OJ,"5,282,702","Joyner Lucas, Lil Baby",1725025,"['boston hip hop', 'hip hop', 'pop rap', 'rap']"
91,9,Cloud 9,"5,252,767",Beach Bunny,618444,"['bubblegrunge', 'chicago indie', 'indie pop', 'pop']"
195,1,Tout l'univers,"5,174,437",Gjon's Tears,32257,[]
64,10,Headshot (feat. Polo G & Fivio Foreign),"5,174,298",Lil Tjay,3553442,"['brooklyn drill', 'melodic rap', 'nyc rap']"
198,1,Mask,"5,156,496",Dream,727731,['dream smp']
199,1,10 Years,"5,152,139",Daði Freyr,169137,"['icelandic pop', 'sunnlensk tonlist']"
127,2,Choker,"5,150,176",Twenty One Pilots,20823062,"['modern rock', 'rock']"
25,1,a p p l y i n g . p r e s s u r e,"15,967,986",J. Cole,14097410,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']"
30,1,1 0 0 . m i l ‘ (with Bas),"15,171,655",J. Cole,14097410,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']"
32,1,p u n c h i n ‘ . t h e . c l o c k,"14,051,831",J. Cole,14097410,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']"
36,2,t h e . c l i m b . b a c k,"12,648,655",J. Cole,14097410,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']"
48,1,h u n g e r . o n . h i l l s i d e (with Bas),"11,647,489",J. Cole,14097410,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']"
55,1,c l o s e,"10,712,648",J. Cole,14097410,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']"
34,3,WITHOUT YOU (with Miley Cyrus),"6,081,034",The Kid LAROI,2230022,['australian hip hop']
92,3,"Snow Tha Product: Bzrp Music Sessions, Vol. 39","5,595,839","Bizarrap, Snow Tha Product",3126961,"['argentine hip hop', 'pop venezolano', 'trap argentino', 'trap latino']"
87,10,Travesuras - Remix,"5,518,444","Nio Garcia, Casper Magico, Ozuna, Wisin & Yandel, Myke Towers, Flow La Movie",2123734,"['latin', 'reggaeton', 'trap latino']"
148,7,Bubblegum Bitch,"5,375,782",MARINA,2918229,"['dance pop', 'electropop', 'metropopolis', 'pop', 'post-teen pop', 'uk alternative pop']"
5,142,Falling,"5,294,368",Harry Styles,16112621,"['pop', 'post-teen pop']"
182,5,Explícito,"5,278,449",Myke Towers,6150675,['trap latino']
58,19,No Te Enamores - Remix,"5,218,146","Milly, Farruko, Nio Garcia, Jay Wheeler, Amenazzy",22718,"['reggaeton', 'reggaeton flow', 'trap latino']"
110,10,PROBLEMA,"5,215,973",Daddy Yankee,1250353,[]
5,31,Lonely (with benny blanco),"5,191,697",Justin Bieber,48504126,"['canadian pop', 'pop', 'post-teen pop']"
77,10,Cupid's Chokehold / Breakfast in America,"5,165,035",Gym Class Heroes,1275345,"['dance pop', 'pop rap']"
38,72,If the World Was Ending - feat. Julia Michaels,"5,127,736",JP Saxe,280585,"['alt z', 'canadian contemporary r&b', 'indie cafe pop', 'pop', 'pop rock', 'post-teen pop']"
47,2,"I DID IT (feat. Post Malone, Megan Thee Stallion, Lil Baby & DaBaby)","7,347,891",DJ Khaled,6278835,"['hip hop', 'miami hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
61,17,Body,"5,831,357","Russ Millions, Tion Wayne",323203,['london rap']
10,69,everything i wanted,"5,448,680",Billie Eilish,1250353,[]
169,1,What You Need,"5,346,005",Don Toliver,1605329,"['rap', 'trap']"
115,9,"L-Gante: Bzrp Music Sessions, Vol.38","5,290,877","Bizarrap, L-Gante",3126961,"['argentine hip hop', 'pop venezolano', 'trap argentino', 'trap latino']"
19,26,HOLIDAY,"5,264,232",Lil Nas X,5473565,"['lgbtq+ hip hop', 'pop rap']"
71,28,At My Worst,"5,258,000",Pink Sweat$,942628,"['bedroom soul', 'pop']"
3,70,Life Is Good (feat. Drake),"5,241,227",Future,10488292,"['atl hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
184,1,Extasy,"5,203,700","187 Strassenbande, Bonez MC, Frauenarzt",1223734,"['german hip hop', 'hamburg hip hop']"
7,44,Wishing Well,"5,125,706",Juice WRLD,19085118,"['chicago rap', 'melodic rap']"
164,11,Fan de Tus Fotos,"5,103,863","Nicky Jam, Romeo Santos",14826679,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']"
82,12,Tapão Na Raba,"5,088,848",Raí Saia Rodada,1260752,['forro']
66,10,Machu Picchu,"5,062,404","Camilo, Evaluna Montaner",10561047,"['colombian pop', 'reggaeton colombiano']"
4,44,Come & Go (with Marshmello),"5,037,124",Juice WRLD,19085118,"['chicago rap', 'melodic rap']"
71,72,Robbery,"5,024,884",Juice WRLD,19085118,"['chicago rap', 'melodic rap']"
199,1,Paradigmas,"5,018,076",Jorge & Mateus,15013645,"['sertanejo', 'sertanejo universitario']"
53,12,SugarCrash!,"5,018,005",ElyOtto,85617,['weirdcore']
72,1,durag activity (with Travis Scott),"7,939,784",Baby Keem,279741,"['hip hop', 'rap', 'trap', 'underground hip hop']"
113,1,love race (feat. Kellin Quinn),"6,325,080",Machine Gun Kelly,3864419,"['ohio hip hop', 'pop rap']"
7,40,POPSTAR (feat. Drake),"6,127,103",DJ Khaled,6278835,"['hip hop', 'miami hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
122,1,LET IT GO (feat. Justin Bieber & 21 Savage),"6,083,338",DJ Khaled,6278835,"['hip hop', 'miami hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
137,1,Girl From Rio,"5,768,836",Anitta,10740222,"['funk carioca', 'funk pop', 'pagode baiano', 'pop nacional']"
10,8,On The Ground,"5,655,879",ROSÉ,1094731,[]
20,5,Mr. Perfectly Fine (Taylor’s Version) (From The Vault),"5,480,722",Taylor Swift,42227614,"['pop', 'post-teen pop']"
42,60,when the party's over,"5,467,596",Billie Eilish,1250353,[]
63,4,Otra Noche Sin Ti,"5,377,794","J Balvin, Khalid",29051363,"['latin', 'reggaeton', 'reggaeton colombiano']"
33,5,Met Him Last Night (feat. Ariana Grande),"5,200,695",Demi Lovato,20331923,"['dance pop', 'pop', 'post-teen pop']"
100,11,Back In Blood (feat. Lil Durk),"5,198,209",Pooh Shiesty,423237,"['memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']"
94,5,Run It Up (feat. Offset & Moneybagg Yo),"5,107,084",Lil Tjay,3553442,"['brooklyn drill', 'melodic rap', 'nyc rap']"
37,31,Mi Niña,"5,026,961","Wisin, Myke Towers, Los Legendarios",6929075,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']"
9,6,As I Am (feat. Khalid),"5,896,065",Justin Bieber,48544923,"['canadian pop', 'pop', 'post-teen pop']"
150,1,Come Through (feat. Chris Brown),"5,531,998",H.E.R.,4138951,"['alternative r&b', 'dance pop', 'pop', 'r&b']"
33,24,Goosebumps,"5,496,962",HVME,17719446,"['rap', 'slap house']"
18,33,Put Your Records On,"5,181,180",Ritt Momney,100463,['bedroom pop']
137,13,Facas - Ao Vivo,"5,141,640","Diego & Victor Hugo, Bruno & Marrone",1585593,"['sertanejo', 'sertanejo pop', 'sertanejo universitario']"
62,28,Train Wreck,"5,081,800",James Arthur,8446147,"['pop', 'post-teen pop', 'talent show', 'uk pop']"
7,23,Monster (Shawn Mendes & Justin Bieber),"5,069,268",Shawn Mendes,33893352,"['canadian pop', 'dance pop', 'pop', 'post-teen pop', 'viral pop']"
6,53,In Your Eyes,"5,054,319",The Weeknd,35340069,"['canadian contemporary r&b', 'canadian pop', 'pop']"
101,68,SAD!,"5,051,338",XXXTENTACION,29566516,"['emo rap', 'miami hip hop']"
193,1,Good Without,"4,998,044",Mimi Webb,130801,"['alt z', 'indie cafe pop', 'pop', 'uk pop']"
19,66,hot girl bummer,"4,992,396",blackbear,4270131,"['electropop', 'pop', 'pop rap']"
197,1,When I Was Your Man,"4,945,935",Bruno Mars,32603394,"['dance pop', 'pop', 'post-teen pop']"
73,11,LOCATION,"4,940,701","KAROL G, Anuel AA, J Balvin",1250353,[]
177,7,Stressed Out,"4,913,147",Twenty One Pilots,20823062,"['modern rock', 'rock']"
72,1,Ski,"7,753,784","Young Stoner Life, Young Thug, Gunna",61930,"['rap', 'trap']"
75,1,Diamonds Dancing (feat. Travis Scott),"7,515,766","Young Stoner Life, Young Thug, Gunna",61930,"['rap', 'trap']"
8,5,Love Story (Taylor’s Version),"6,202,933",Taylor Swift,42227614,"['pop', 'post-teen pop']"
107,14,"Ele É Ele, Eu Sou Eu","5,380,517","Wesley Safadão, Os Barões Da Pisadinha",9907270,['forro']
186,1,Quero Ver é Me Esquecer (feat. Jorge) - Ao Vivo,"5,159,208",Os Barões Da Pisadinha,4271775,"['forro', 'piseiro']"
3,19,willow,"5,016,865",Taylor Swift,42227614,"['pop', 'post-teen pop']"
104,16,Why'd You Only Call Me When You're High?,"4,976,405",Arctic Monkeys,12375514,"['garage rock', 'permanent wave', 'rock', 'sheffield indie']"
18,18,Afterglow,"4,965,330",Ed Sheeran,1250353,[]
43,29,LA CANCIÓN,"4,959,754","J Balvin, Bad Bunny",29051363,"['latin', 'reggaeton', 'reggaeton colombiano']"
52,1,You Belong With Me (Taylor’s Version),"9,872,084",Taylor Swift,42227614,"['pop', 'post-teen pop']"
54,1,Fearless (Taylor’s Version),"9,676,024",Taylor Swift,42227614,"['pop', 'post-teen pop']"
68,1,X Gon' Give It To Ya,"8,638,360",DMX,2815928,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap']"
80,1,Fifteen (Taylor’s Version),"7,852,063",Taylor Swift,42227614,"['pop', 'post-teen pop']"
84,1,The Way I Loved You (Taylor’s Version),"7,736,262",Taylor Swift,42227614,"['pop', 'post-teen pop']"
51,3,You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),"7,712,896",Taylor Swift,42227614,"['pop', 'post-teen pop']"
93,1,Hey Stephen (Taylor’s Version),"7,385,864",Taylor Swift,42227614,"['pop', 'post-teen pop']"
102,1,White Horse (Taylor’s Version),"7,039,222",Taylor Swift,42227614,"['pop', 'post-teen pop']"
114,1,Forever & Always (Taylor’s Version),"6,566,059",Taylor Swift,42227614,"['pop', 'post-teen pop']"
119,1,Breathe (feat. Colbie Caillat) (Taylor’s Version),"6,508,683",Taylor Swift,42227614,"['pop', 'post-teen pop']"
139,1,Ruff Ryders' Anthem,"5,988,511",DMX,2815928,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap']"
146,1,That’s When (feat. Keith Urban) (Taylor’s Version) (From The Vault),"5,889,939",Taylor Swift,42227614,"['pop', 'post-teen pop']"
147,1,Tell Me Why (Taylor’s Version),"5,885,151",Taylor Swift,42227614,"['pop', 'post-teen pop']"
148,1,You’re Not Sorry (Taylor’s Version),"5,860,405",Taylor Swift,42227614,"['pop', 'post-teen pop']"
40,25,Chica Ideal,"5,217,052","Sebastian Yatra, Guaynaa",1250353,[]
15,32,Relación - Remix,"5,206,614","Sech, Daddy Yankee, J Balvin, ROSALÍA, Farruko",8758283,"['latin', 'panamanian pop', 'reggaeton', 'trap latino']"
192,1,Don’t You (Taylor’s Version) (From The Vault),"5,197,564",Taylor Swift,42227614,"['pop', 'post-teen pop']"
195,1,We Were Happy (Taylor’s Version) (From The Vault),"5,189,423",Taylor Swift,42227614,"['pop', 'post-teen pop']"
153,2,WACHA,"5,172,999","KHEA, Duki",3198705,"['argentine hip hop', 'trap argentino', 'trap latino', 'trap triste']"
132,1,Dancing With The Devil,"5,836,326",Demi Lovato,20338833,"['dance pop', 'pop', 'post-teen pop']"
26,4,Gone,"5,427,638",ROSÉ,1099480,[]
160,3,What Other People Say,"5,413,003","Sam Fischer, Demi Lovato",122746,"['alt z', 'australian pop', 'dance pop', 'indie cafe pop', 'pop', 'post-teen pop', 'uk pop']"
88,31,Hello (feat. A Boogie Wit da Hoodie),"5,323,062",Pop Smoke,6852509,['brooklyn drill']
91,12,Hasta Abajo,"5,269,163","Kevin Roldan, Bryant Myers, Lyanno",4026643,"['latin', 'latin hip hop', 'reggaeton', 'reggaeton colombiano', 'reggaeton flow', 'trap latino']"
30,37,Take You Dancing,"5,176,493",Jason Derulo,9778632,"['dance pop', 'pop', 'pop rap', 'post-teen pop']"
28,3,Unstable (feat. The Kid LAROI),"5,137,645",Justin Bieber,48544923,"['canadian pop', 'pop', 'post-teen pop']"
2,48,Stuck with U (with Justin Bieber),"5,094,660",Ariana Grande,67208170,"['dance pop', 'pop', 'post-teen pop']"
120,15,Hayloft,"5,086,382",Mother Mother,2110870,"['indie pop', 'vancouver indie']"
191,1,Esquema Preferido (feat. Tarcísio do Acordeon),"5,078,174",DJ Ivis,342930,['piseiro']
75,5,Además de Mí - Remix,"5,060,336","Rusherking, KHEA, Duki, Maria Becerra, LIT killah, Tiago PZK",301217,"['trap argentino', 'trap latino', 'trap triste']"
193,3,Payphone,"5,052,717","Maroon 5, Wiz Khalifa",32279979,"['pop', 'pop rock']"
50,3,Ghost,"5,013,450",Justin Bieber,48544923,"['canadian pop', 'pop', 'post-teen pop']"
37,3,Off My Face,"5,004,111",Justin Bieber,48544923,"['canadian pop', 'pop', 'post-teen pop']"
140,13,"Whats Poppin (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix] - Bonus Track","4,972,518",Jack Harlow,1053324,"['deep underground hip hop', 'kentucky hip hop', 'pop rap', 'rap']"
188,3,Take on Me,"4,969,662",a-ha,1560784,"['new romantic', 'new wave', 'new wave pop', 'permanent wave', 'soft rock', 'synthpop']"
45,18,BEBÉ,"4,967,348","Camilo, El Alfa",10580764,"['colombian pop', 'reggaeton colombiano']"
118,1,Richer (feat. Polo G),"6,292,362",Rod Wave, , 
128,2,Tu Veneno,"6,007,541",J Balvin,29067437,"['latin', 'reggaeton', 'reggaeton colombiano']"
49,2,Deserve You,"5,837,372",Justin Bieber,48544923,"['canadian pop', 'pop', 'post-teen pop']"
44,2,2 Much,"5,794,583",Justin Bieber,48544923,"['canadian pop', 'pop', 'post-teen pop']"
3,66,Tusa,"5,510,113","KAROL G, Nicki Minaj",17792779,"['latin', 'reggaeton', 'reggaeton colombiano']"
34,29,Una Locura,"5,466,954","Ozuna, J Balvin, Chencho Corleone",29238936,"['latin', 'puerto rican pop', 'reggaeton', 'trap latino']"
61,2,Loved By You (feat. Burna Boy),"5,419,040",Justin Bieber,48544923,"['canadian pop', 'pop', 'post-teen pop']"
181,1,Girls Like Us,"5,410,730",Zoe Wees,203555,['german pop']
17,4,Lemon Pepper Freestyle (feat. Rick Ross),"5,365,747",Drake,56327031,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']"
97,9,Esquema Preferido,"5,356,696","DJ Ivis, Tarcísio do Acordeon",342930,['piseiro']
105,14,Love Not War (The Tampa Beat),"5,326,719","Jason Derulo, Nuka",9778632,"['dance pop', 'pop', 'pop rap', 'post-teen pop']"
57,2,Die For You (feat. Dominic Fike),"5,323,412",Justin Bieber,48544923,"['canadian pop', 'pop', 'post-teen pop']"
64,12,Starboy,"5,302,285","The Weeknd, Daft Punk",35340069,"['canadian contemporary r&b', 'canadian pop', 'pop']"
22,29,La Tóxica,"5,255,393",Farruko,10510156,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']"
181,3,Coração Na Cama - Ao Vivo,"5,211,351",Hugo & Guilherme,435936,['sertanejo pop']
60,1,Love You Different (feat. BEAM),"10,024,729",Justin Bieber,48544923,"['canadian pop', 'pop', 'post-teen pop']"
74,1,Somebody,"8,912,458",Justin Bieber,48544923,"['canadian pop', 'pop', 'post-teen pop']"
152,1,White Dress,"5,796,978",Lana Del Rey,13697048,"['art pop', 'pop']"
82,18,Polvo,"5,528,508","Nicky Jam, Myke Towers",14831925,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']"
138,2,Chemtrails Over The Country Club,"5,418,816",Lana Del Rey,13697048,"['art pop', 'pop']"
37,31,Parce (feat. Justin Quiles),"5,312,876","Maluma, Lenny Tavárez",26769304,"['latin', 'reggaeton', 'reggaeton colombiano']"
