Highest Charting Position,Number of Times Charted,Song Name,Streams,Artist,Artist Followers,Genre
31,12,2/Catorce,"9,086,979","Rauw Alejandro, Mr. Naisgai",6080597,"['puerto rican pop', 'trap latino']"
34,21,Beautiful Mistakes (feat. Megan Thee Stallion),"9,048,966",Maroon 5,32262679,"['pop', 'pop rock']"
31,15,Run,"9,017,356",OneRepublic,12169108,"['dance pop', 'piano rock', 'pop', 'pop rock']"
46,7,Thot Shit,"8,977,336",Megan Thee Stallion,4787261,"['houston rap', 'pop', 'pop rap', 'trap queen']"
26,26,Your Love (9PM),"8,935,418","ATB, Topic, A7S",291777,"['german dance', 'german techno', 'german trance', 'trance']"
9,10,brutal,"8,881,356",Olivia Rodrigo,6266514,['pop']
2,34,Save Your Tears,"8,843,110",The Weeknd,35305637,"['canadian contemporary r&b', 'canadian pop', 'pop']"
8,24,Heartbreak Anniversary,"8,832,945",Giveon,1398563,"['pop', 'r&b']"
2,83,Don't Start Now,"8,821,971",Dua Lipa,1250353,[]
33,7,Dinero,"8,564,775",Trinidad Cardona,116817,[]
35,48,Sweater Weather,"8,564,017",The Neighbourhood,6662605,"['modern alternative rock', 'modern rock', 'pop']"
69,3,Sobrio,"8,514,480",Maluma,26769304,"['latin', 'reggaeton', 'reggaeton colombiano']"
12,83,Someone You Loved,"8,490,162",Lewis Capaldi,8384096,"['pop', 'uk pop']"
71,1,Over The Top (feat. Drake),"8,269,753",Smiley,26131,"['canadian hip hop', 'toronto rap']"
72,2,2055,"8,133,401",Sleepy Hallow,408696,"['brooklyn drill', 'nyc rap']"
33,18,EL MAKINON,"8,102,107","KAROL G, Mariah Angeliq",17775316,"['latin', 'reggaeton', 'reggaeton colombiano']"
74,8,Loco,"8,093,413","Justin Quiles, Chimbala, Zion & Lennox",2895789,"['latin', 'reggaeton', 'trap latino']"
75,4,Love Tonight - Edit,"8,006,336",Shouse,27116,['aussietronica']
12,11,ZITTI E BUONI,"7,975,148",Måneskin,3377762,"['indie rock italiano', 'italian pop']"
2,23,telepatía,"7,912,399",Kali Uchis,1999954,"['colombian pop', 'pop']"
9,14,Botella Tras Botella,"7,735,223","Gera MX, Christian Nodal",2043294,"['mexican hip hop', 'rap conciencia']"
